	atomic_number	symbol	mass_number	Relative Atomic Mass	Isotopic  Composition	Standard Atomic Weight	Standard Isotope	delta neutrons
31	16.0	S	34.0	33.96786700447	0.042524		False	2.0
32	16.0	S	36.0	35.967080712	0.00011		False	4.0
33	17.0	Cl	35.0	34.96885268237	0.75761	['35.446', '35.457']	True	0.0
34	17.0	Cl	37.0	36.96590260255	0.24241		False	2.0
35	18.0	Ar	36.0	35.96754510528	0.00333621	['39.9481']	False	-4.0
36	18.0	Ar	38.0	37.9627321121	0.0006297		False	-2.0
37	18.0	Ar	40.0	39.962383123724	0.99603525		True	0.0
38	19.0	K	39.0	38.963706486449	0.93258144	['39.09831']	True	0.0
39	19.0	K	40.0	39.9639981666	0.0001171		False	1.0
40	19.0	K	41.0	40.961825257941	0.06730244		False	2.0
41	20.0	Ca	40.0	39.96259086322	0.96941156	['40.0784']	True	0.0
42	20.0	Ca	42.0	41.9586178316	0.0064723		False	2.0
43	20.0	Ca	43.0	42.9587664424	0.001351		False	3.0
44	20.0	Ca	44.0	43.9554815635	0.0208611		False	4.0
45	20.0	Ca	46.0	45.953689024	4.3e-05		False	6.0
46	20.0	Ca	48.0	47.9525227613	0.0018721		False	8.0
47	21.0	Sc	45.0	44.9559082877	1.0	['44.9559085']	True	0.0
48	22.0	Ti	46.0	45.9526277235	0.08253	['47.8671']	False	-2.0
49	22.0	Ti	47.0	46.9517587938	0.07442		False	-1.0
50	22.0	Ti	48.0	47.9479419838	0.73723		True	0.0
51	22.0	Ti	49.0	48.9478656839	0.05412		False	1.0
52	22.0	Ti	50.0	49.9447868939	0.05182		False	2.0
53	23.0	V	50.0	49.9471560195	0.002504	['50.94151']	False	-1.0
54	23.0	V	51.0	50.9439570494	0.997504		True	0.0
55	24.0	Cr	50.0	49.9460418394	0.0434513	['51.99616']	False	-2.0
56	24.0	Cr	52.0	51.9405062363	0.8378918		True	0.0
57	24.0	Cr	53.0	52.9406481562	0.0950117		False	1.0
58	24.0	Cr	54.0	53.9388791661	0.023657		False	2.0
59	25.0	Mn	55.0	54.9380439148	1.0	['54.9380443']	True	0.0
60	26.0	Fe	54.0	53.9396089953	0.0584535	['55.8452']	False	-2.0
61	26.0	Fe	56.0	55.9349363349	0.9175436		True	0.0
62	26.0	Fe	57.0	56.9353928449	0.021191		False	1.0
63	26.0	Fe	58.0	57.9332744353	0.002824		False	2.0
64	27.0	Co	59.0	58.9331942956	1.0	['58.9331944']	True	0.0
65	28.0	Ni	58.0	57.9353424152	0.6807719	['58.69344']	True	0.0
66	28.0	Ni	60.0	59.9307858852	0.2622315		False	2.0
67	28.0	Ni	61.0	60.9310555752	0.01139913		False	3.0
68	28.0	Ni	62.0	61.9283453755	0.0363464		False	4.0
69	28.0	Ni	64.0	63.9279668258	0.00925519		False	6.0
70	29.0	Cu	63.0	62.9295977256	0.691515	['63.5463']	True	0.0
